開催日,格,レース名,競馬場,距離,馬名,父,母,母父,馬主,生産牧場,セリ結果,写真URL
2026/01/24,,東雲賞（4歳以上2勝クラス）,中山,芝1800m,ドゥカート,レイデオロ,キャットコイン,ステイゴールド,Ｇ１レーシング,社台コーポレーション白老ファーム,,
2026/01/24,L,若駒ステークス,京都,芝2000m,ショウナンハヤナミ,レイデオロ,ショウナンバーチ,ディープインパクト,国本　哲秀,青藍牧場,,
2026/01/25,,3歳新馬,中山,ダ1800m,トーアエレクトラム,オルフェーヴル,ジョーヌダンブル,アグネスデジタル,高山ランド,トーア牧場,,
2026/01/25,,3歳新馬,京都,芝1600m,ペイジャー,エピファネイア,ピクシーホロウ,キングヘイロー,藤田　晋,ノーザンファーム,"36,300万円（セレクトセール）",
2026/01/25,,3歳未勝利,小倉,ダ1700m,ドウカキミニトドケ,ルーラーシップ,ショウナンバビアナ,ディープインパクト,フィールドレーシング,下河辺牧場,,
2026/01/25,,3歳未勝利,小倉,芝2000m,ドッグウッド,レイデオロ,ハナソメイ,タートルボウル,林　瑛子,藤本ファーム,,
2026/01/25,,3歳未勝利,中山,芝1600m,ナイスプレーアスク,アドマイヤマーズ,エンジェルドンキ,ディープインパクト,廣崎利洋ＨＤ,三嶋牧場,,
2026/01/25,,4歳上1勝クラス,小倉,芝1800m,ウインシャーガス,キズナ,ウインアキレア,コンデュイット,ウイン,コスモヴューファーム,,
2026/01/25,,4歳上1勝クラス,京都,ダ1200m,ダノンモンテローザ,ロードカナロア,パーフェクトトリビュート,Dubawi,ダノックス,ケイアイファーム,,
2026/01/25,,4歳上1勝クラス,小倉,芝2000m,ヤコブセン,エピファネイア,スマッシュ,キングカメハメハ,坂口　直大,宮内牧場,"5,280万円（北海道セレクションセール）",
2026/01/25,,4歳上2勝クラス,中山,ダ1200m,ハードセルツァー,イスラボニータ,ハウオリ,キングカメハメハ,金子真人ホールディングス,社台ファーム,,
2026/01/25,G2,アメリカジョッキークラブカップ,中山,芝2200m,ショウヘイ,サートゥルナーリア,オーロトラジェ,オルフェーヴル,石川　達絵,ノーザンファーム,"4,400万円（ノーザンファームミックスセール）",
2026/01/25,,河津桜賞（3歳1勝クラス）,京都,芝1600m,ソルパッサーレ,キズナ,ベアフットレディ,Footstepsinthesand,ＴＮレーシング,タイヘイ牧場,"4,840万円（北海道セレクションセール）",
2026/01/25,,響灘特別（4歳以上2勝クラス）,小倉,ダ1700m,アイウィル,ドレフォン,ジュリーハーツ,ハーツクライ,Ｇリビエール・レーシング,岡田スタツド,"3,850万円（セレクトセール）",
